identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
teacher_survey_classroom_085,TeacherMathFrequency,1 -2 times per week,1 -2 times per week,1 a 2 veces por semana,1 - 2 Mal pro Woche,1 - 2 fois par semaine,1-2 keer per week,1 - 2 Mal pro Woche,1 a 2 veces por semana,1 -2 times per week
teacher_survey_classroom_086,TeacherMathFrequency,3 - 4 times per week,3 - 4 times per week,3 a 4 veces por semana,3 - 4 Mal pro Woche,3 - 4 fois par semaine,3-4 keer per week,3 - 4 Mal pro Woche,3 a 4 veces por semana,3 - 4 times per week
teacher_survey_classroom_087,TeacherMathFrequency,Daily,Daily,A diario,Täglich,Tous les jours,Dagelijks,Täglich,A diario,Daily
teacher_survey_classroom_088,TeacherMathTime,"How much time per day do children in this class usually work on lessons or projects in Mathematics, whether as a whole class, in small groups, or in individualized arrangements?","How much time per day do children in this class usually work on lessons or projects in Mathematics, whether as a whole class, in small groups, or in individualized arrangements?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Mathematikprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Combien de temps par jour les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en mathématiques, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoeveel tijd per dag werken kinderen in deze klas meestal aan lessen of projecten voor Wiskunde, hetzij klassikaal, in kleine groepen, of individueel?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Mathematikprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","How much time per day do children in this class usually work on lessons or projects in Mathematics, whether as a whole class, in small groups, or in individualized arrangements?"
teacher_survey_classroom_089,TeacherMathTime,1 - 30 minutes a day,1 - 30 minutes a day,1 a 30 minutos al día,1 - 30 Minuten pro Tag,1 - 30 minutes par jour,1-30 minuten per dag,1 - 30 Minuten am Tag,1 a 30 minutos al día,1 - 30 minutes a day
teacher_survey_classroom_090,TeacherMathTime,31 - 60 minutes a day,31 - 60 minutes a day,31 a 60 minutos al día,31 - 60 Minuten pro Tag,31 - 60 minutes par jour,31-60 minuten per dag,31 - 60 Minuten am Tag,31 a 60 minutos al día,31 - 60 minutes a day
teacher_survey_classroom_091,TeacherMathTime,61 - 90 minutes a day,61 - 90 minutes a day,61 a 90 minutos al día,61 - 90 Minuten pro Tag,61 - 90 minutes par jour,61-90 minuten per dag,61 - 90 Minuten am Tag,61 a 90 minutos al día,61 - 90 minutes a day
teacher_survey_classroom_092,TeacherMathTime,More than 90 minutes a day,More than 90 minutes a day,Más de 90 minutos al día,Mehr als 90 Minuten pro Tag,Plus de 90 minutes par jour,Meer dan 90 minuten per dag,Mehr als 90 Minuten am Tag,Más de 90 minutos al día,More than 90 minutes a day
teacher_survey_classroom_093,TeacherFamilySupport,Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?,Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?,Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?,"Denken Sie an die Familien der Kinder in dieser Klasse, die Sie in diesem Schuljahr unterrichtet haben. Für wie viele Familien treffen die folgenden Aussagen zu?",Pensez aux familles des enfants de cette classe à qui vous avez enseigné cette année scolaire. Pour combien de familles environ chacune des déclarations suivantes est-elle vraie ?,Denk aan de families van de kinderen in deze klas die u dit schooljaar lesgegeven hebt. Voor hoeveel families zijn de volgende uitspraken ongeveer waarheid?,"Denken Sie an die Familien der Kinder in dieser Klasse, die Sie in diesem Schuljahr unterrichtet haben. Für wie viele Familien treffen die folgenden Aussagen zu?",Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?,Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?
teacher_survey_classroom_094,TeacherFamilyOverwhelm,Families seem overwhelmed by trying to support their children's learning.,Families seem overwhelmed by trying to support their children's learning.,Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).,"Die Familien scheinen überwältigt zu sein, wenn sie versuchen, das Lernen ihrer Kinder zu unterstützen.",Les familles semblent dépassées par le fait de devoir soutenir l'apprentissage de leurs enfants.,Gezinnen lijken overweldigd door het proberen te ondersteunen van het leren van hun kinderen.,"Familien scheinen überfordert zu sein, da sie versuchen, das Lernen ihrer Kinder zu unterstützen.",Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).,Families seem overwhelmed by trying to support their children's learning.
teacher_survey_classroom_095,TeacherFamilyOverwhelm,None,None,Ninguna,Keine,Aucun,Geen,Keine,Ninguna,None
teacher_survey_classroom_096,TeacherFamilyOverwhelm,One or a few,One or a few,Una o pocas,Eine oder wenige,Une ou quelques-unes,Eén of enkele,Eine oder wenige,Una o pocas,One or a few
teacher_survey_classroom_097,TeacherFamilyOverwhelm,Many,Many,Muchas,Viele,Beaucoup,Veel,Viele,Muchas,Many
teacher_survey_classroom_098,TeacherFamilyOverwhelm,All or almost all,All or almost all,Todas o casi todas,Alle oder fast alle,Toutes ou presque toutes,Alle of bijna alle,Alle oder fast alle,Todas o casi todas,All or almost all
teacher_survey_classroom_099,TeacherFamilyHelping,Families are doing their part to support children's learning.,Families are doing their part to support children's learning.,Las familias hacen su parte para apoyar el aprendizaje de los niños(as).,"Die Familien leisten ihren Beitrag, um das Lernen der Kinder zu unterstützen.",Les familles font leur part pour soutenir l'apprentissage des enfants.,Gezinnen doen hun best om het leren van kinderen te ondersteunen.,"Familien tragen ihren Teil dazu bei, das Lernen der Kinder zu unterstützen.",Las familias hacen su parte para apoyar el aprendizaje de los niños(as).,Families are doing their part to support children's learning.
teacher_survey_classroom_100,TeacherFamilyHelping,None,None,Ninguna,Keine,Aucun,Geen,Keine,Ninguna,None
teacher_survey_classroom_101,TeacherFamilyHelping,One or a few,One or a few,Una o pocas,Eine oder wenige,Une ou quelques-unes,Eén of enkele,Eine oder wenige,Una o pocas,One or a few
teacher_survey_classroom_102,TeacherFamilyHelping,Many,Many,Muchas,Viele,Beaucoup,Veel,Viele,Muchas,Many
teacher_survey_classroom_103,TeacherFamilyHelping,All or almost all,All or almost all,Todas o casi todas,Alle oder fast alle,Toutes ou presque toutes,Alle of bijna alle,Alle oder fast alle,Todas o casi todas,All or almost all
teacher_survey_classroom_104,TeacherComm,Please indicate how satisfied or dissatisfied you have been with the following this school year.,Please indicate how satisfied or dissatisfied you have been with the following this school year.,"Por favor, indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.","Bitte geben Sie an, wie zufrieden oder unzufrieden Sie in diesem Schuljahr mit den folgenden Aspekten waren.",Veuillez indiquer à quel point vous avez été satisfait ou insatisfait de ce qui suit cette année scolaire.,Geef aan hoe tevreden of ontevreden u dit schooljaar met de volgende aspecten bent geweest.,"Bitte geben Sie an, wie zufrieden oder unzufrieden Sie in diesem Schuljahr mit den folgenden Aspekten waren.","Por favor, indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.",Please indicate how satisfied or dissatisfied you have been with the following this school year.
teacher_survey_classroom_105,TeacherCommFamily,Communication between you and families.,Communication between you and families.,La comunicación entre usted y las familias.,Die Kommunikation zwischen Ihnen und den Familien.,Communication entre vous et les familles.,Communicatie tussen u en de families.,Die Kommunikation zwischen Ihnen und den Familien.,La comunicación entre usted y las familias.,Communication between you and families.
teacher_survey_classroom_106,TeacherCommFamily,Not satisfied at all,Not satisfied at all,Nada satisfecho,Überhaupt nicht zufrieden,Pas du tout satisfait,Helemaal niet tevreden,Überhaupt nicht zufrieden,Nada satisfecho,Not satisfied at all
teacher_survey_classroom_107,TeacherCommFamily,Slightly satisfied,Slightly satisfied,Poco satisfecho,Wenig zufrieden,Légèrement satisfait,Een beetje tevreden,Wenig zufrieden,Poco satisfecho,Slightly satisfied
teacher_survey_classroom_108,TeacherCommFamily,Moderately satisfied,Moderately satisfied,Medianamente satisfecho,Mäßig zufrieden,Modérément satisfait,Gemiddeld tevreden,Mäßig zufrieden,Medianamente satisfecho,Moderately satisfied
teacher_survey_classroom_109,TeacherCommFamily,Quite satisfied,Quite satisfied,Bastante satisfecho,Ganz zufrieden,Assez satisfait,Best tevreden,Ganz zufrieden,Bastante satisfecho,Quite satisfied
teacher_survey_classroom_110,TeacherCommFamily,Very satisfied,Very satisfied,Absolutamente satisfecho,Sehr zufrieden,Très satisfait,Zeer tevreden,Sehr zufrieden,Absolutamente satisfecho,Very satisfied
teacher_survey_classroom_111,TeacherCommStudents,Communication between you and your students.,Communication between you and your students.,La comunicación entre usted y sus alumnos.,Die Kommunikation zwischen Ihnen und Ihren Schülern.,Communication entre vous et vos élèves.,Communicatie tussen u en uw leerlingen.,Die Kommunikation zwischen Ihnen und Ihren Schülern.,La comunicación entre usted y sus alumnos.,Communication between you and your students.
teacher_survey_classroom_112,TeacherCommStudents,Not satisfied at all,Not satisfied at all,Nada satisfecho,Überhaupt nicht zufrieden,Pas du tout satisfait,Helemaal niet tevreden,Überhaupt nicht zufrieden,Nada satisfecho,Not satisfied at all
teacher_survey_classroom_113,TeacherCommStudents,Slightly satisfied,Slightly satisfied,Poco satisfecho,Wenig zufrieden,Légèrement satisfait,Een beetje tevreden,Wenig zufrieden,Poco satisfecho,Slightly satisfied
teacher_survey_classroom_114,TeacherCommStudents,Moderately satisfied,Moderately satisfied,Medianamente satisfecho,Mäßig zufrieden,Modérément satisfait,Gemiddeld tevreden,Mäßig zufrieden,Medianamente satisfecho,Moderately satisfied
teacher_survey_classroom_115,TeacherCommStudents,Quite satisfied,Quite satisfied,Bastante satisfecho,Ganz zufrieden,Assez satisfait,Best tevreden,Ganz zufrieden,Bastante satisfecho,Quite satisfied
teacher_survey_classroom_116,TeacherCommStudents,Very satisfied,Very satisfied,Absolutamente satisfecho,Sehr zufrieden,Très satisfait,Zeer tevreden,Sehr zufrieden,Absolutamente satisfecho,Very satisfied
teacher_survey_classroom_117,unknown,Start Survey,Start Survey,Comenzar Encuesta,Umfrage starten,Commencer le sondage,Begin enquête,Umfrage starten,Comenzar Encuesta,Start Survey
teacher_survey_classroom_118,unknown,Previous,Previous,Anterior,Zurück,Précédent,Vorige,Zurück,Anterior,Previous
teacher_survey_classroom_119,unknown,Next,Next,Siguiente,Weiter,Suivant,Volgende,Weiter,Siguiente,Next
teacher_survey_classroom_120,unknown,Finish,Finish,Terminar,Beenden,Terminer,Voltooien,Beenden,Terminar,Finish
